Lead Investigator Name,Lead Investigator Organization Name,h_index,h_index_recent (Since 2019),i10_index,i10_index_recent (Since 2019),total_citations,recent_citations (Since 2019),Verified Affiliation Match
"Pleshet,Noah O.",Bur of Applied Rsch in Anthro,,,,,,,False
"Hopkins,Maren P.",Bur of Applied Rsch in Anthro,,,,,,,False
"Bernstein,Harris",Cellular & Molecular Medicine,53.0,22.0,120.0,45.0,10544.0,2187.0,True
"Brusseau,Mark L.",Environmental Science-Res,7.0,7.0,7.0,6.0,363.0,297.0,False
"Burd,Randy M.",Nutritional Sci Wellness - RES,45.0,30.0,146.0,108.0,6343.0,3360.0,False
"Cranmer,Lee Duncan",Cancer Center Division,,,,,,,False
"Dereniak,Eustace L.",James C Wyant Coll Optical Sci,,,,,,,False
"Djordjevic,Ivan B.",Electrical and Computer Engr,59.0,36.0,272.0,130.0,13923.0,5298.0,True
"Sorooshian,Armin",Chemical & Environmental Engr,66.0,51.0,202.0,197.0,14136.0,8890.0,True
"Fasel,Hermann F.",Aerospace & Mechanical Engr,43.0,31.0,181.0,90.0,8890.0,3674.0,True
"Galbraith,David W.",BIO5 Institute,71.0,36.0,157.0,87.0,23914.0,7088.0,True
"Shaked,Moshe",Mathematics,50.0,20.0,144.0,43.0,15659.0,3976.0,True
"Gervasio,Dominic F.",Chemical & Environmental Engr,22.0,12.0,31.0,16.0,2051.0,996.0,True
"Thakur,Dinesh S.",Mathematics,3.0,3.0,2.0,2.0,76.0,76.0,True
"Goodman,Nathan A.",Electrical and Computer Engr,29.0,20.0,56.0,32.0,3354.0,1554.0,False
"Futscher,Bernard W.",Cancer Center Division,57.0,25.0,91.0,47.0,9305.0,1587.0,False
"Khitrova,Galina",James C Wyant Coll Optical Sci,49.0,18.0,125.0,40.0,12689.0,2326.0,True
"Kobourov,Stephen G.",Computer Science,61.0,32.0,176.0,115.0,11576.0,4592.0,True
"Tyo,J. Scott",James C Wyant Coll Optical Sci,,,,,,,
